Gene symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation_Aged_by_young,GSM9085542_OPC.1,GSM9085543_OPC.2,GSM9085544_OPC.3,GSM9085545_OPC.4,GSM3967160_young1,GSM3967161_young2,GSM3967162_young3,GSM3967163_Aged.1,GSM3967164_Aged.2,GSM3967165_Aged.3,GSM3929171_Aged.5,GSM3929172_Aged.6,GSM3929170_Aged.4
Stmn1,1261.433045,-1.369544482,0.340500063,-4.022156327,5.77E-05,0.001614124,DOWN,10.31025434,10.31956751,10.26820554,10.71136056,11.41151303,10.82258772,10.29752072,9.696446164,9.711168081,9.367309148,10.14217646,10.6885592,9.357602174
Foxo6,34.52658538,-3.311162762,0.700241879,-4.728598588,2.26E-06,0.000122385,DOWN,6.042294778,6.159517509,6.037346027,6.843953878,7.388806619,6.479368372,6.54056748,5.22366793,5.61420392,5.214669003,5.558515763,6.271964814,4.584621216
Prox1,749.8972823,-0.691164366,0.224872729,-3.073580197,0.002115068,0.024245155,DOWN,10.23017285,10.1473727,9.453974025,10.34575276,10.0853625,9.990361042,9.848397718,9.429947795,9.215201131,9.328658538,8.245491398,8.541083141,8.62380383
Mdga1,149.8527553,-2.624217958,0.408329457,-6.426717227,1.30E-10,3.06E-08,DOWN,7.950992611,7.460827181,8.345202549,8.673587224,8.530464471,8.112578782,7.876429056,6.337363664,6.422182197,6.257298462,5.558515763,6.602459981,6.404013887
Dpysl5,364.4225594,-2.273411496,0.280217112,-8.113035911,4.94E-16,5.72E-13,DOWN,9.244876519,9.247675078,9.145839174,9.507808285,9.834794345,9.164410116,8.765673111,7.269791273,7.396816511,7.485601695,6.892986095,7.083091612,7.163776758
Ccne2,179.5928837,-1.425632636,0.282783664,-5.041425017,4.62E-07,3.32E-05,DOWN,8.570802562,8.077877009,8.24522852,8.421642991,8.540519166,8.114051299,7.922741584,6.93353793,7.107809652,7.247073644,6.294758929,6.527695435,7.163776758
Pdk4,148.1168161,-1.485652289,0.29096637,-5.105924411,3.29E-07,2.50E-05,DOWN,8.246605865,8.287949431,7.849760847,8.649487143,7.975670984,8.018165568,7.645894387,6.796651498,6.994993879,6.557372709,6.038385492,6.271964814,5.818274787
Ptgs2,473.5295345,-1.317555476,0.429860234,-3.065078764,0.002176127,0.024766357,DOWN,9.799764616,9.806766418,8.418389154,9.651906422,9.827993008,9.793143914,9.16090682,8.631363578,8.50245768,8.092362787,6.369139292,7.031684384,7.691757745
