Gene symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation_Aged_by_young,GSM9085542_OPC.1,GSM9085543_OPC.2,GSM9085544_OPC.3,GSM9085545_OPC.4,GSM3967160_young1,GSM3967161_young2,GSM3967162_young3,GSM3967163_Aged.1,GSM3967164_Aged.2,GSM3967165_Aged.3,GSM3929171_Aged.5,GSM3929172_Aged.6,GSM3929170_Aged.4
Kif22,126.7341383,-1.946474108,0.309145754,-6.296299025,3.05E-10,6.32E-08,DOWN,7.767823477,7.599892514,8.087178831,7.693372266,8.027665084,7.676020478,7.32477493,6.239884206,6.313536856,6.576272256,7.437673073,6.864491524,7.344296183
Lmnb1,497.73504,-1.56336715,0.340585739,-4.590230807,4.43E-06,0.000213313,DOWN,9.460596241,8.695782913,9.240812976,9.507808285,10.17347102,9.170051351,8.920560803,8.108216172,8.29772937,7.958250716,9.104278729,8.916075154,9.070860276
Ccnd2,1768.168795,-1.246520311,0.304741889,-4.090413411,4.31E-05,0.001284056,DOWN,11.26909215,10.90653926,10.48713906,11.37526568,12.11691501,11.35279968,10.98416721,10.2638593,10.35369766,10.42234194,9.560454696,9.636281088,9.183261848
LOC103690190,611.247275,-1.094313823,0.383688659,-2.852088009,0.004343307,0.040580783,DOWN,9.848275921,9.864907135,9.127311366,10.04172927,10.12399612,9.169347406,8.817784305,8.363081675,8.776775694,8.268781619,9.20040235,9.709388777,8.795551537
Bub1,165.8691888,-2.259589127,0.48324174,-4.67589809,2.93E-06,0.00015097,DOWN,8.838957444,8.195496001,8.366498607,8.921679987,8.118803455,7.440568076,7.219697954,6.511615023,6.246756466,5.585174817,6.50557655,6.740050032,7.163776758
Uchl1,277.080603,-1.567244126,0.283192691,-5.534196941,3.13E-08,3.40E-06,DOWN,8.481025946,8.70796777,8.554394515,9.127352522,9.194968193,8.721925576,8.81862301,7.174892872,7.667352325,7.85960418,7.072056219,7.27124782,7.286718428
Neurod1,230.4981807,-1.499199798,0.467386298,-3.207624625,0.001338361,0.017442061,DOWN,7.517104277,7.785587368,7.834472537,7.740206264,8.749395966,8.720001138,9.796666754,7.259932076,7.278102439,8.61946184,6.685948054,6.363278186,6.70900708
Tp53i11,1132.664833,-1.02974803,0.267071694,-3.85569888,0.000115399,0.002766358,DOWN,10.46727793,9.997046388,9.45891863,10.22360389,11.20876761,10.95694038,10.67799482,10.11343826,10.1073427,9.637001719,9.272926941,9.594002535,9.258487604
Kif11,221.3240701,-2.870939593,0.41081738,-6.988359626,2.78E-12,1.37E-09,DOWN,8.546424438,8.390004544,8.934698283,8.914963472,9.080464598,8.09180169,7.897377651,6.433758584,6.489620056,6.155771907,6.985504632,6.864491524,7.857406513
Fam111a,105.326594,-1.953225724,0.404288287,-4.831269637,1.36E-06,8.25E-05,DOWN,7.707000047,7.928825467,7.487546663,8.173221259,7.952309578,7.329345332,6.956621994,6.323914353,6.211898811,6.119848372,6.130351901,5.944966993,6.878430559
B3gnt5,79.94759533,-2.077333226,0.716092572,-2.900928326,0.00372059,0.036348151,DOWN,7.297178029,7.239270021,7.705801842,7.542685648,8.079359706,7.241680757,6.684190906,6.172686632,6.584423235,5.332112487,4.584621216,5.210847643,5.995964958
Gad2,286.877583,-1.725026702,0.264849654,-6.513229955,7.36E-11,1.96E-08,DOWN,8.743644525,8.683493563,8.792868782,8.513618586,8.808768665,8.999113781,9.167498316,7.427435277,7.454835191,7.708238041,8.009702943,6.740050032,7.777015935
Bard1,95.91371122,-2.123984412,0.496424749,-4.278562692,1.88E-05,0.000681358,DOWN,7.715851833,7.639049202,7.803389783,7.611666651,8.148416972,7.14508812,6.777796222,5.952713716,6.040510761,6.387714791,6.43923752,5.463552288,6.514067012
Gprin1,123.4724351,-2.318918511,0.300895791,-7.706716334,1.29E-14,1.04E-11,DOWN,7.62471734,7.785587368,7.87984966,7.940274087,8.502158156,7.761645008,7.815047029,6.421335344,6.291689532,6.551009727,6.130351901,5.809781955,6.283108591
Dlx1,405.7779323,-3.657314457,0.381535301,-9.585782631,9.18E-22,4.52E-18,DOWN,9.570746154,9.344337871,9.217651122,9.718885841,10.36757044,9.182663777,8.83943284,6.705128573,6.792789388,6.444562969,6.892986095,6.978239815,6.70900708
Gad1,217.0407675,-2.821623497,0.678812263,-4.156706724,3.23E-05,0.001048594,DOWN,8.072603103,8.271579776,7.406484641,9.04980684,7.816432461,8.533078061,8.972708137,6.125618375,6.24101812,6.82564626,9.01190281,6.527695435,7.286718428
Celsr3,354.7508551,-2.382084049,0.320997511,-7.420880122,1.16E-13,7.64E-11,DOWN,9.157653767,8.988131301,9.398431754,9.538677618,9.576897007,8.747655744,8.730444161,6.929335451,6.85073761,7.472840091,7.752576159,7.718207412,7.970014969
Clvs1,47.31396657,-1.651565629,0.527300283,-3.132115952,0.001735513,0.021089849,DOWN,6.633730547,6.561853531,6.782683941,6.957020388,6.908910319,6.71513748,6.94711701,5.801778583,5.514010268,6.37308168,6.294758929,5.210847643,5.995964958
Incenp,289.036114,-1.142508768,0.286278898,-3.990894112,6.58E-05,0.001776553,DOWN,8.613663443,8.743912896,8.703854946,8.795693763,9.089603789,8.420117222,8.166120498,7.645993111,7.551414442,7.758780918,7.921518647,7.97934451,8.646432212
Cenpt,90.6602059,-1.081083969,0.312716757,-3.457070801,0.000546081,0.008997101,DOWN,7.834263879,7.664558677,7.787587622,7.413092984,7.324465021,6.938792498,7.024340575,6.494074356,6.235251705,6.518705037,5.702477535,6.80374196,6.283108591
Mybl2,93.08489794,-2.782794933,0.490673032,-5.671383496,1.42E-08,1.70E-06,DOWN,7.661884455,7.204495873,7.980387466,7.560252727,8.080897198,7.171328591,7.054030581,5.779843462,6.151382039,5.553558605,5.938038808,6.448210971,6.615247565
Cep55,76.4821484,-2.717154045,0.473887109,-5.733758091,9.82E-09,1.27E-06,DOWN,7.465303568,7.689612571,7.364105013,7.542685648,7.769346898,7.091038909,6.632706875,5.496641815,5.861975637,5.82898362,5.702477535,5.463552288,6.404013887
Kif23,165.4059448,-2.071869966,0.493836189,-4.195459982,2.72E-05,0.000914145,DOWN,8.570802562,8.2466673,7.894657134,8.987171705,8.524847843,7.580540824,7.222295534,6.452162561,6.70868599,6.07328252,6.50557655,6.363278186,7.226625823
Itga4,252.8258205,-1.15460442,0.191711414,-6.022616982,1.72E-09,2.87E-07,DOWN,8.570802562,8.456613847,8.186499154,8.665598826,8.829846278,8.647929707,8.666630005,7.730802592,7.922008524,7.526287252,7.560543316,7.39716423,7.600986552
Srrm4,90.27343765,-2.322828829,0.396317014,-5.861037363,4.60E-09,6.60E-07,DOWN,7.537297086,7.354484822,7.38545698,7.693372266,7.874495506,7.326769202,7.16938316,5.812566584,6.324313253,5.942149862,5.938038808,6.448210971,6.878430559
Prr11,96.60376282,-1.477858333,0.422481281,-3.498044529,0.000468683,0.008065848,DOWN,8.152575776,7.762200381,7.755441406,7.872029995,7.831173684,6.952442534,6.770549972,6.389717515,6.34029939,6.24097691,4.584621216,5.653216858,5.995964958
Cenpe,253.7569783,-2.621205965,0.443877628,-5.905244603,3.52E-09,5.18E-07,DOWN,9.151216326,8.857611753,9.050715115,9.04980684,8.881662991,8.060054858,7.689202062,6.617383029,6.601703591,5.852634327,7.530826428,7.083091612,8.074326212
Gpr68,98.20302223,2.705863669,0.460884889,5.871018417,4.33E-09,6.28E-07,UP,7.119258641,7.25633187,6.35472911,6.752324449,6.221263223,5.890511037,6.373500817,7.721365236,7.707759363,8.45804881,7.405180935,6.363278186,6.796447873
Arx,277.0511401,-4.269233048,0.65078699,-6.560108169,5.38E-11,1.52E-08,DOWN,9.436988603,8.818833976,8.831572475,9.391819939,9.615862081,8.545095716,8.189745936,6.210495003,6.151382039,5.067405462,6.43923752,6.80374196,5.995964958
Cox6a2,43.57980998,2.032594629,0.5128927,3.963001678,7.40E-05,0.001934259,UP,7.105616816,7.055794353,6.153079565,6.653777871,5.723229327,5.598370198,5.596611411,6.376838487,6.743749113,6.655080899,5.384695381,5.809781955,6.70900708
Foxm1,389.7286102,-0.854035032,0.251326636,-3.398107914,0.000678536,0.010503191,DOWN,9.541531324,9.175049134,9.063768047,9.480811564,9.355046154,8.932598137,8.590039491,8.093737079,8.273764317,8.338176886,8.030917499,7.810727312,7.452721528
Tbr1,50.04284919,-2.048445198,0.473223729,-4.32870347,1.50E-05,0.000568375,DOWN,6.653164425,6.472963009,7.078094734,7.181221641,6.937230554,6.914564091,6.7921697,6.117581682,5.548738864,5.645162629,5.558515763,5.809781955,6.404013887
Gsx2,41.04573896,-3.865637142,0.58931374,-6.559557129,5.40E-11,1.52E-08,DOWN,6.633730547,6.590145927,6.35472911,7.291477623,7.506860765,6.503579405,6.478234803,5.152053349,5.342802996,5.264269211,5.15393544,5.463552288,5.311071597
Mcm10,92.37430171,-2.933689017,0.5869051,-4.998574759,5.78E-07,3.99E-05,DOWN,7.465303568,7.504022189,7.364105013,7.542685648,8.142543405,7.233426866,7.083082375,6.059662765,5.592927414,5.779938479,5.827161447,5.944966993,7.503915314
Ppp1r3b,365.1179847,1.109541418,0.331251303,3.349545824,0.000809442,0.01208337,UP,8.455054196,8.884682299,7.803389783,8.624974637,8.049826499,8.150377075,8.205281131,9.051388636,8.729472632,9.472679091,9.325017061,8.644422961,8.47996388
Esco2,100.4075153,-2.318279142,0.489543652,-4.735592286,2.18E-06,0.000119553,DOWN,8.058825426,7.545918065,8.02138207,7.857976687,7.888645783,7.103237044,6.676402819,5.904807098,6.012739932,5.920480252,6.294758929,5.463552288,6.955642279
Scrt2,28.98617824,-3.94023921,0.809620611,-4.866772356,1.13E-06,7.07E-05,DOWN,5.868965784,6.343595622,6.444146744,6.547054812,7.159513226,6.424387116,6.636741128,5.004916209,4.849921957,5.520713534,4.584621216,5.210847643,4.584621216
Pcp2,153.8027441,-1.618717458,0.570401917,-2.837854168,0.004541793,0.04174255,DOWN,7.715851833,6.747932394,6.847244822,7.577601613,8.693473497,7.86885216,9.35006506,6.523174127,7.633767594,7.779530754,5.384695381,5.210847643,4.584621216
